z,r,U,U_RMS
cm,cm,m/s,m/s
4,0,0.51,0.25
6,0,0.93,0.27
10,0,1.62,0.24
14,0,2.12,0.24
20,0,2.61,0.31
29,0,2.96,0.4
30,0,2.87,0.45
31,0,3.06,0.4
33,0,2.99,0.41
35,0,3.05,0.42
39,0,3.12,0.42
40,0,2.99,0.52
45,0,3.03,0.48
55,0,3.01,0.43
70,0,2.77,0.4
75,0,2.69,0.44
85,0,2.75,0.37
100,0,2.51,0.38
