z,r,q
cm,cm,kW/m2
4,60,1.18789
6,60,1.27483
8,60,1.347645
12,60,1.38391
16,60,1.43418
22,60,1.47653
32,60,1.44802
47,60,1.314145
62,60,1.002055
77,60,0.78108
92,60,0.61841
102,60,0.41798
