z,r,q
cm,cm,kW/m2
0,60,0.80803
1,60,0.76649
10,60,0.9532
14,60,0.89951
20,60,0.983135
30,60,0.904185
40,60,0.828395
50,60,0.709265
60,60,0.55339
70,60,0.456855
80,60,0.37057
90,60,0.271415
100,60,0.187975
110,60,0.166673333
120,60,0.07
130,60,0
