z,r,U,U_RMS
cm,cm,m/s,m/s
2,0,0.69,0.35
4,0,0.9,0.36
6,0,1.16,0.44
8,0,1.45,0.46
10,0,1.73,0.45
14,0,2.17,0.43
20,0,2.6,0.41
27,0,3.02,0.41
29,0,3.07,0.39
30,0,3.08,0.46
31,0,3.15,0.42
33,0,3.22,0.44
35,0,3.35,0.43
39,0,3.44,0.44
45,0,3.54,0.5
55,0,3.77,0.53
70,0,3.84,0.48
85,0,3.59,0.57
100,0,3.47,0.53
125,0,3.09,0.51
150,0,3.01,0.5
